U0121	蚊子
U0122	蚯蚓
U0123	嗨，樹伯伯，可以給個建議嗎？
U0124	音符
U0125	老木頭，還在那邊生根喔？
U0126	謝謝你解了我的渴！讓你爬到我手上……
U0127	去對面找那隻鳥，牠愛音樂和蘑菇！
U0128	把仙子指的菇拿給牠，記得先送份小禮！
U0129	你還跟爸媽住喔？
U0130	你都這樣光溜溜到處跑喔？
U0131	蜜蜂
U0132	凱爾
U0133	仙子
U0134	衣夾
U0135	沙漏
U0136	氣球
U0137	蜂蜜
U0138	蘑菇
U0139	食人魚
U0140	骨頭
U0141	肉
U0142	老兄，這蘑菇送你，超好吃的！
U0143	請笑納這份薄禮，聽說超夯的！
U0144	太棒了！放進我的音樂造夢機，嚐一口！
U0145	機器
U0146	禿鷹
U0147	仁慈藥水
U0148	容器
U0149	食人魚
U0150	罐子
U0151	喝這個之前，要不要再看看四周？
U0152	喝這鬼東西前，先拿個紀念品好了？
U0153	藝術家先生，能為我們演奏一曲嗎？
U0154	喂，懶骨頭，來一段音樂如何？
U0155	好啊好啊！我手癢正想彈吉他呢……
U0156	沒問題！這首是我自己寫的曲子……
U0157	尊貴的樂手，能為我們變奏一曲嗎？
U0158	嘿，能用你那破喇叭吹一下嗎？
U0159	兜帽
U0160	吉他手
U0161	彈簧
U0162	薩克斯風手
U0163	水管
U0164	車燈
U0165	房子
U0166	籃子
U0167	嗨，運動咖，今天真適合來一場！
U0168	那是鐘匠湯姆家，輕敲兩下就對了！
U0169	嗨，公務員大人，這附近有什麼好看的？
U0170	去找鐘匠湯姆，他最懂打發時間……
U0171	親愛的大師，想見識您的手藝……
U0172	打劫！錢通通交出來！
U0173	白痴，別浪費時間，這裡只有沙漏……
U0174	要沙漏？好，把鐘的滴答換成旋律吧！
U0175	尊貴的村長，那間打死不開的房子是誰的？
U0176	還等什麼，笨蛋，等發獎牌喔？
U0177	村長
U0178	村公所
U0179	湯姆
U0180	籃球員
