U0181	鐘錶店
U0182	村外有座城堡，兩人決定逛逛
U0183	借地毯上來見我，這裡聽不清楚！
U0184	運氣真好啊，朋友！穩定工作沒煩惱……
U0185	有種就上來啊，地毯就是幹這個用的！
U0186	想進城堡，把時間沙丟進壕溝！
U0187	想進城堡，別走大門！
U0188	塔樓
U0189	索卡
U0190	地毯
U0191	開口
U0192	炸彈
U0193	壕溝
U0194	守衛
U0195	風箱
U0196	鐵匠你好，還沒找齊，但快了……
U0197	耐心點，鐵匠，我們會找你要的……
U0198	矮人兄弟，我們來了！兩樣都拿到了！
U0199	好了！有活要給你做，藝術家！
U0200	沒有拓印，我打不出鑰匙！
U0201	沒有鑰匙拓印，這堆廢鐵沒用！
U0202	還缺什麼東西嗎？
U0203	對！要用風箱把火搧旺。
U0204	還等什麼？快去做事，懶骨頭！
U0205	去搧風箱啦，別在這煩我！
U0206	可以讓我們過去嗎？
U0207	看起來不錯！能給我一塊嗎？
U0208	長矛
U0209	鐵匠
U0210	歐托
U0211	鐵砧
U0212	爐火
U0213	凳子
U0214	美乃滋
U0215	噓！我挺你！要進惡魔王座，得要刻魚櫃的鑰匙。給我拓印和鐵片，我幫你打！
U0216	口香糖
U0217	拓印
U0218	假牙
U0219	劍
U0220	潛水衣
U0221	仁慈藥水
U0222	鑰匙
U0223	哎唷！
U0224	魯斯克
U0225	葛羅蒙
U0226	史塔洛比庫斯
U0227	阿米達
U0228	櫃子
U0229	骷髏頭
U0230	阿諾
U0231	斧頭
U0232	吊車
U0233	蓋子
U0234	砧板
U0235	地道
U0236	水井
U0237	你就是這裡的地獄看門狗？
U0238	出口在哪，骷髏堆？
U0239	喂，蛆蟲，給我跪下拜你的神！
U0240	躺下，你這隻假忍者龜！
