U0241	還在那晃啊？我盯著你們呢！
U0242	太冒險了！得再多嚇嚇他……
U0243	這傢伙太警覺了，得引開他……
U0244	手套
U0245	珍珠
U0246	海星
U0247	羊皮紙
U0248	箱子
U0249	兩位冒險者，深入陌生海底世界的幽暗深淵……
U0250	提燈
U0251	燈魚
U0252	海鰻
U0253	舵
U0254	雕像
U0255	？？？
U0256	鑽石
U0257	這裡有什麼值錢東西嗎？
U0258	沒有！但仔細找就有珍珠和鑽石……
U0259	這附近會不會有寶藏啊？
U0260	不是沒可能，但得有水手的肌肉才行！
U0261	SOS救命啊！署名：小丑王子
U0262	不，我好像忘了拿樣有用的東西……
U0263	欸，我們好像忘了拿重要的東西！
U0264	SOS救命啊！署名：小丑王子
U0265	貝殼
U0266	海馬
U0267	凹洞
U0268	美人魚
U0269	章魚
U0270	黏液怪
U0271	深海公主，幫我們離開這裡！
U0272	我也想，但阿摩尼亞偷走我雙眼，看不見
U0273	寶貝，想親一下嗎？你知道近路吧！
U0274	知道，但我眼睛被偷了，指不了路
U0275	這樣你滿意了嗎？
U0276	喔，太謝謝了！不過我只能開一半的路……
U0277	值得吧，寶貝，現在看到我的帥身材了！
U0278	恕我直言，你真的不是我的菜！
U0279	拜託，夫人，請告訴我們去王座廳的路！
U0280	誰說你們去那是有正當理由？
U0281	唉，繞圈繞煩了！蜈蚣，帶路出去！
U0282	死小子，我幹嘛幫你？你怪怪的……
U0283	啊，我懂了！你們要救那孩子，抱歉多疑了
U0284	繩子
U0285	廚師
U0286	劍魚
U0287	鏈子
U0288	柯利布
U0289	傢伙
U0290	肉丸
U0291	盒子
U0292	可憐的朋友，他們想煮了你！我們救你
U0293	圖釘
U0294	掃把
U0295	銼刀
U0296	鹽
U0297	碗
U0298	才沒有，老兄，我只是在洗澡而已。
U0299	嗯～你看起來很好吃，會是道美味烤肉！
U0300	滾啦笨蛋！你擋到光了，沒看到我在泡水？
